PLAYER,AGE,TM,MAIN POS,OTHER POS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Maikel Garcia,25,KC,3B,"2B,SS",644.01005,576,79.08977174,155.9319552,107.6457177,31.30474687,4.133911919,12.84757875,65.5499884,26.81763188,6.799304843,55.03598238,95.21133689,0.2707152,0.341394981,0.406332052,0.747727034,2.283466949,5.925990064,68
Michael Harris II,24,ATL,OF,,576.1684,543,67.26786298,148.0108314,94.91429283,28.49333854,3.39143233,21.21176769,76.12370306,17.8270415,5.124377708,24.95390099,113.3990428,0.2725798,0.308307333,0.45473727,0.763044603,2.245507419,5.323428432,100
Bo Bichette,27,NYM,SS,,618.49375,571,70.93309711,165.1393668,114.9212225,30.88745929,1.624564663,17.70612035,78.61342593,5.168600948,2.894443338,41.42150259,96.66507697,0.2892108,0.337583219,0.44202157,0.779604789,2.155003398,5.36499825,80
Nico Hoerner,28,CHC,2B,,633.3993,583,73.26065324,163.8891122,125.2419129,27.1178761,3.563028116,7.966295052,60.8668671,26.31949732,5.971475832,42.08352685,59.75632683,0.2811134,0.33271976,0.38084379,0.71356355,1.56233832,4.784413029,91
Jarren Duran,29,BOS,OF,,613.32375,538,78.60183644,138.985037,83.47320762,32.97742381,6.698929759,15.83547582,70.40074967,22.32088151,5.095090002,50.44462784,145.027765,0.2583365,0.343819691,0.432837821,0.776657512,1.559450276,4.637371289,65
Eugenio Suarez,34,CIN,3B,,604.02625,544,72.46851737,127.7950656,69.49537619,23.33369524,0.892790351,34.07320382,94.41639471,2.872505981,1.013971152,53.46571356,177.4417792,0.2349174,0.304513295,0.468996237,0.773509532,1.479188352,4.621711466,82
Teoscar Hernandez,33,LAD,OF,,570.54885,517,68.47214069,134.2283998,80.45782292,26.49905417,1.287854268,25.98366844,85.98287629,5.663686787,2.170066366,36.87648585,148.404911,0.2596294,0.32327191,0.466642491,0.789914401,1.440036503,4.517957517,114
Yandy Diaz,34,TB,1B,,616.7901,552,69.30631307,159.0798864,111.3544802,27.37207434,0.618718679,19.73461315,72.86673039,2.302898831,0.971779245,58.01777844,89.6986185,0.2881882,0.356696636,0.447270358,0.803966994,1.424507979,4.630859631,124
William Contreras,28,MIL,C,,618.1064,537,76.19714595,144.428835,96.28662433,27.30326247,1.000262831,19.83868536,78.35765443,6.127855361,2.431321404,74.44519935,119.8948315,0.268955,0.358858772,0.434355082,0.793213855,1.42022482,5.257113005,57
Geraldo Perdomo,26,ARI,SS,,632.692,541,81.68536365,143.8686169,99.35951036,26.86992598,4.283326179,13.35585438,63.52385508,21.12715752,5.253641345,79.0298685,79.66501391,0.2659309,0.366647378,0.405494932,0.77214231,1.392071241,4.602066092,60
Vinnie Pasquantino,28,KC,1B,,615.7108,553,65.71807743,145.4605117,86.90469325,30.15544997,1.506708488,26.89365999,89.62120334,1.114126825,0.120574019,52.09215704,90.83337019,0.2630389,0.332392029,0.468915658,0.801307687,1.384650669,4.591002321,81
George Springer,36,TOR,OF,,576.55155,511,76.24880561,131.3052825,84.03449646,21.75343886,2.071124011,23.44622317,71.61029824,13.27401426,2.545913132,59.7936242,111.1277139,0.2569575,0.335478604,0.445283051,0.780761654,1.376869024,4.454790037,74
Jeremy Pena,28,HOU,SS,,597.99295,549,72.00526709,149.3295372,103.7230674,26.54345476,1.910566279,17.15244874,66.81142891,17.04012317,4.44085078,36.18574653,112.8485604,0.2720028,0.32514751,0.42104093,0.74618844,1.33826253,4.548257382,93
Austin Riley,28,ATL,3B,,610.2418,552,72.06856039,143.706024,88.15982197,27.46611728,2.1779794,25.90210535,81.509729,2.854877323,1.207186262,45.40737713,150.4676922,0.260337,0.325138603,0.458758,0.783896603,1.204452492,4.346975606,60
Randy Arozarena,30,SEA,OF,,657.1759,585,79.22925441,136.505187,86.33840996,26.42376929,1.382045099,22.36096265,75.03416586,23.80771967,6.891655923,64.32327438,171.2258341,0.2333422,0.311858501,0.39790758,0.709766081,1.187317064,4.265238078,85
Willy Adames,30,SF,SS,,655.6209,570,79.94382858,134.305908,80.79163252,26.08107765,1.472444699,25.96075313,82.66692301,11.48853309,3.785617372,70.9476161,161.2001385,0.2356244,0.32979543,0.423182692,0.752978122,1.120372877,4.330367728,116
Jackson Merrill,22,SD,OF,,590.7419,541,70.18957017,145.6973051,88.44809879,30.88559719,4.637106508,21.72650262,76.55244186,6.209574077,2.766066823,39.68388799,111.6538221,0.2693111,0.325392888,0.464023333,0.789416221,1.105518658,4.183439672,60
Brice Turang,26,MIL,2B,,629.68945,562,74.36629116,144.8451592,103.4310667,24.93529732,2.631281782,13.84751343,64.53645246,26.69339055,6.338455457,58.8441463,127.3538572,0.2577316,0.33157197,0.385383559,0.716955529,1.003299604,4.225374313,46
Byron Buxton,32,MIN,OF,,513.18815,461,72.2107356,114.5550425,60.27051042,24.29402105,3.821242246,26.16926879,67.36501335,17.05661497,1.434551025,39.63066188,135.8344831,0.2484925,0.319186262,0.488068014,0.807254276,0.990644013,4.068565027,71
Andy Pages,25,LAD,OF,,575.7189,530,68.98306542,135.503934,80.91309584,28.76760892,1.782813297,24.04041595,79.05861783,10.21635827,4.208573545,38.50465909,120.3891596,0.2556678,0.308898594,0.452751731,0.761650325,0.988586693,4.066507707,133
Seiya Suzuki,31,CHC,OF,,599.0668,525,70.8048263,133.631715,80.240084,25.89292332,3.379883052,24.11882462,82.95621458,6.636599105,2.876441112,67.55385422,146.7308112,0.2545366,0.340237289,0.454554054,0.794791343,0.952114379,4.030035392,86
Steven Kwan,28,CLE,OF,,645.3871,579,77.60317916,160.7834364,120.9573436,26.13543957,2.571335773,11.1193175,56.40644564,18.74838439,4.646501811,57.81297495,57.72201199,0.2776916,0.345510781,0.389325561,0.734836342,0.949194293,4.027115307,152
Shea Langeliers,28,ATH,C,,526.2112,479,66.54703302,121.4052324,66.65930305,24.80507235,1.438369039,28.50248796,81.0713315,5.316173175,1.600983396,40.38265634,115.5846696,0.2534556,0.314909881,0.489758887,0.804668768,0.824969018,4.661857203,68
Ceddanne Rafaela,25,BOS,OF,2B,575.9622,540,70.90177205,138.575826,88.98399198,28.7810674,3.353008256,17.45775837,69.08242094,21.02776639,6.719882266,27.76472367,120.760964,0.2566219,0.297464793,0.419326269,0.716791062,0.811476957,4.38939797,157
Jose Altuve,35,HOU,OF,2B,596.22375,533,72.86365033,141.5208275,94.73533909,25.4502971,1.237899412,20.09729189,66.17468983,12.04315686,4.186794389,50.82464616,103.0123065,0.2655175,0.336989639,0.431029642,0.768019281,0.742111533,4.320032546,98
Oneil Cruz,27,PIT,OF,,541.7071,468,68.66176453,110.925126,64.10952565,21.65142675,3.43638393,21.72778967,64.66386977,29.72170447,5.446858031,58.81394092,165.9683622,0.2370195,0.334884346,0.437249337,0.772133683,0.614689542,3.692610555,89
Hunter Goodman,26,COL,C,,546.33725,506,65.7816666,130.0954336,70.75573174,28.53445479,2.873261681,27.93198538,81.16652248,1.911909019,1.295711724,35.54989436,138.7442003,0.2571056,0.305472679,0.490459225,0.795931904,0.573842445,4.41073063,74
Luis Arraez,28,SF,1B,2B,624.80395,560,67.45523579,172.28764,135.4254627,27.69526833,2.974439292,6.192469655,57.91351246,8.58582685,3.134513262,33.47409813,26.5996755,0.3076565,0.373232136,0.400909278,0.774141415,0.514514841,4.220866493,250
Michael Busch,28,CHC,1B,,581.9529,516,74.56905583,128.6214108,73.6848546,25.76394588,2.834897138,26.33771319,77.37240602,3.357363724,0.717555723,62.42181256,139.417195,0.2492663,0.328871495,0.463310641,0.792182136,0.468744073,3.675095724,105
Lawrence Butler,25,ATH,OF,,568.32995,504,71.42550864,123.2545104,73.98791034,25.84150036,1.9174253,21.50767439,69.49907306,19.09375492,4.907644482,51.37741149,148.583734,0.2445526,0.323608719,0.43145612,0.75506484,0.420855279,3.498776292,132
Trevor Story,33,BOS,SS,,574.5562,535,66.8477333,133.5936195,86.96808644,25.60751873,1.253105993,19.76490834,68.68839679,22.12646117,3.084390567,32.85650657,148.4485864,0.2497077,0.295063646,0.413087991,0.708151637,0.416002633,3.625997485,108
Christian Yelich,34,MIL,OF,,573.58645,504,69.36475793,129.2937912,88.03404625,20.75861156,1.551108324,18.95002506,70.94850013,15.32233714,4.14857102,63.57172307,138.4666072,0.2565353,0.341147614,0.416675981,0.757823596,0.363020726,3.440941739,99
Taylor Ward,32,BAL,OF,,623.56405,547,72.79505935,133.3259988,80.33973765,25.34777363,1.61955693,26.01893059,81.34260893,4.286079963,1.849104349,65.17106107,148.6870776,0.2437404,0.330685019,0.438701422,0.769386441,0.279919045,3.357840058,121
Roman Anthony,21,BOS,OF,,594.3972,503,79.52927889,132.9072876,83.07833695,29.72172485,2.421780459,17.68544534,63.02894396,9.024877164,3.469261423,76.99348499,148.6219866,0.2642292,0.371228628,0.438427255,0.809655883,0.274854366,3.35277538,49
Corey Seager,31,TEX,SS,,527.62685,462,63.57725963,125.7188394,76.35750043,23.66173491,0.514779069,25.18482499,71.58229494,2.553300801,0.411059624,59.36341424,95.82726165,0.2721187,0.357206788,0.489100882,0.84630767,0.259896724,3.469891576,88
Konnor Griffin,19,PIT,SS,,489.89465,451,74.19007012,116.9455628,81.13530146,21.03285082,2.097782941,12.67962757,58.89559489,25.18140764,7.232422936,31.67927601,129.5929841,0.2593028,0.311944784,0.39958506,0.711529844,0.25027408,3.460268931,213
Ezequiel Tovar,24,COL,SS,,608.3255,571,69.80503428,150.9486464,94.25450273,33.05668774,3.776542471,19.86091346,68.6375561,8.156661407,3.90290321,31.21733885,144.0102731,0.2643584,0.303481734,0.439826899,0.743308633,0.21196955,3.421964402,227
Tyler Soderstrom,24,ATH,OF,1B,561.0751,504,63.24960789,129.1582152,75.77871798,27.07283991,1.412283163,24.89437415,80.02422155,5.385853745,2.243864097,47.62467335,126.155018,0.2562663,0.326176531,0.463767349,0.78994388,0.20404824,3.781969253,85
Jacob Wilson,23,ATH,SS,,548.9093,512,63.02442676,152.7515648,111.5960117,27.12986274,1.455210824,12.57047952,63.76863871,5.821577021,2.154960972,29.31883726,42.03331793,0.2983429,0.339768866,0.430670484,0.77043935,0.167150496,3.377145348,156
Heliot Ramos,26,SF,OF,,616.9414,554,72.05733172,141.9208392,93.55649018,24.99289917,1.988365535,21.38308431,73.08959194,6.442185399,2.90947503,48.71885731,142.7044265,0.2561748,0.325826773,0.424259427,0.750086199,0.120697932,3.198618945,218
Brandon Nimmo,32,TEX,OF,,625.0285,560,73.68297167,141.351448,93.95316168,23.7908555,2.463735837,21.14369499,69.8102448,9.15773851,2.100820389,58.14369016,133.1997731,0.2524133,0.324585949,0.416965822,0.74155177,0.027644717,3.105565731,131
Ian Happ,31,CHC,OF,,642.67695,551,76.95786877,132.9483656,80.12295791,29.59328277,1.431925581,21.80019935,76.24865529,7.61876831,2.404300014,83.61595204,147.6098135,0.2412856,0.3437909,0.41888584,0.762676739,-0.111526145,2.966394869,152
Chandler Simpson,25,TB,OF,,474.69805,438,60.51454009,125.6782746,105.0856403,15.81313599,2.925107287,1.854390974,38.46505765,44.62955684,10.62587971,27.48255734,50.24889432,0.2869367,0.33549654,0.349097713,0.684594253,-0.12157322,2.956347794,164
Spencer Torkelson,26,DET,1B,,626.75345,552,76.03977116,128.4119808,72.28242591,27.69616858,1.166042235,27.26734408,83.8315049,2.027672845,0.483605424,67.48629758,157.540714,0.2326304,0.318658923,0.435221497,0.753880419,-0.131998693,3.074352959,183
Gleyber Torres,29,DET,2B,,642.0793,561,75.66891355,145.5186315,100.1906745,26.27068574,1.20561853,17.85165269,68.97808189,5.771484461,2.244839158,71.9654663,107.7227573,0.2593915,0.34670356,0.405981305,0.752684865,-0.182465925,3.039608784,209
Alec Burleson,27,STL,OF,1B,568.7068,517,58.50592342,141.7732393,95.87913533,24.97669258,1.379108785,19.5383026,72.64154272,5.513215623,1.694623971,40.77594275,78.59907385,0.2742229,0.334552467,0.441243824,0.775796291,-0.21666025,3.361260764,184
Matt Chapman,32,SF,3B,,607.484,528,75.45197041,126.6041568,74.74715991,26.96456561,1.853264498,23.03916679,73.29562661,8.327025916,3.01924983,70.42364492,142.4371442,0.2397806,0.332739045,0.428774151,0.761513196,-0.272390872,2.870132242,145
Agustin Ramirez,24,MIA,C,,539.7061,491,66.80138033,120.897948,72.13248916,27.53577001,1.017698678,20.21199015,71.37834588,13.47355359,3.474894222,42.46720144,110.9362005,0.246228,0.308795227,0.429949258,0.738744486,-0.488617347,3.348270838,108
Adolis Garcia,32,PHI,OF,,562.92095,515,64.7263124,122.571133,72.80758688,24.4248944,1.100161796,24.23848993,76.85072265,11.32145223,3.837524814,37.91074352,144.2321517,0.2380022,0.296591853,0.430896739,0.727488593,-0.510615097,2.567305916,230
Jo Adell,26,LAA,OF,,548.2459,503,60.55573394,118.2988095,66.6119663,20.64376163,1.58333601,29.45974555,78.55053901,8.273788216,3.445603357,37.45793877,141.0943635,0.2351865,0.29249804,0.458227594,0.750725634,-0.521478664,2.55644235,125
Alex Bregman,31,CHC,3B,,625.8794,547,71.44581646,138.5010564,88.32110066,27.64681858,1.450283214,21.08285395,74.40041381,2.364920832,1.207748153,68.05667693,87.33214396,0.2532012,0.340979874,0.424674595,0.765654469,-0.525345597,2.617177517,93
Bryson Stott,28,PHI,2B,SS,579.20015,515,64.59166142,132.2115725,92.33642791,23.95982686,2.803014209,13.11230352,61.05090805,23.5776063,4.75639175,52.82790037,94.84505652,0.2567215,0.333529915,0.390513278,0.724043193,-0.573976064,3.148098645,184
Dansby Swanson,32,CHC,SS,,623.5215,559,71.4728379,134.4278728,89.1234258,23.76197664,2.105370009,19.43710035,69.94624094,14.83098957,3.512764593,54.98320806,155.5258561,0.2404792,0.313107064,0.394833436,0.7079405,-0.593286053,2.616708799,149
Luis Garcia Jr.,25,WSN,2B,,509.73735,475,58.69095768,128.70201,87.71958811,23.49124166,1.950140492,15.54103974,65.65976747,13.47200746,4.622911981,30.52180488,81.82204155,0.2709516,0.314159349,0.426771899,0.740931248,-0.687591117,2.534483593,252
Salvador Perez,35,KC,C,1B,588.4801,550,55.34085174,139.01063,85.11626181,26.84075606,0.858975637,26.1946365,84.61548575,0.120650321,0.246185236,30.25153457,122.185966,0.2527466,0.295319369,0.447551358,0.742870727,-0.709623338,3.627264847,100
Ozzie Albies,29,ATL,2B,,601.3412,550,66.76964028,139.64786,92.01951448,27.60689022,2.222589384,17.79886592,69.1689456,10.96699061,2.815023581,46.04542153,88.105471,0.2539052,0.311128139,0.409266412,0.720394552,-0.727599386,2.494475323,137
Masyn Winn,23,STL,SS,,623.3368,571,72.11064734,146.5132897,99.2422546,29.73784728,2.815601508,14.71758631,63.66102451,12.3356786,3.91966152,42.54910481,108.8622939,0.2565907,0.313198235,0.395858317,0.709056552,-0.735936163,2.474058689,283
Jakob Marsee,24,MIA,OF,,590.1074,514,71.17372912,118.3056324,74.24351854,25.85967536,4.793759278,13.40867923,58.75254938,33.9132403,10.41291743,70.48280968,122.52078,0.2301666,0.323222286,0.377390786,0.700613072,-0.757995027,2.319925987,130
Xavier Edwards,26,MIA,2B,SS,579.35585,523,64.84799858,147.3584403,116.0672023,22.81514159,4.00883672,4.467259697,46.72414353,26.22433409,6.300228207,50.3277626,74.7837418,0.2817561,0.345603797,0.366334674,0.71193847,-0.766246781,2.955827928,170
Marcus Semien,35,NYM,2B,,615.9047,549,74.14628936,132.7989276,87.03594358,24.19139625,2.185861977,19.38572579,71.30356674,9.278546719,2.20098259,56.11561955,99.98041436,0.2418924,0.317741116,0.399852869,0.717593985,-0.779346773,2.442727936,173
Bryan Reynolds,31,PIT,OF,,628.7982,559,68.00178833,141.6933076,92.60098258,26.18210664,3.554638589,19.35557979,73.61810637,4.928808606,1.934270004,56.56023776,150.6418256,0.2534764,0.330798539,0.416907747,0.747706286,-0.786654389,2.291266624,183
Alec Bohm,29,PHI,3B,1B,573.29095,519,61.38135271,142.9234656,100.6573076,24.96984876,2.319929257,14.97638001,70.67614633,2.86926485,0.90041926,39.31850632,84.10572847,0.2753824,0.338400342,0.41900253,0.757402872,-0.930590123,2.711932992,249
Luis Robert Jr.,28,NYM,OF,,512.83285,454,59.14188603,106.5568418,68.15964738,19.00596151,0.629056878,18.76217603,63.15160724,27.88679409,7.327666968,39.32838102,136.4736965,0.2347067,0.316644229,0.403320364,0.719964593,-0.959909906,2.118011108,124
Brenton Doyle,27,COL,OF,,549.04215,508,63.09761794,125.8491768,80.93471397,23.76987631,3.047918283,18.09666824,61.84170889,19.77276536,3.872788199,35.53287353,141.2270626,0.2477346,0.297679907,0.413395461,0.711075369,-0.960977548,2.116943465,184
Sal Stewart,22,CIN,1B,,496.6927,450,61.79491744,120.090105,78.60090053,23.11462063,0.47768266,17.89690118,67.0191405,7.438956388,2.099356664,39.79311809,92.78205931,0.2668669,0.329960314,0.439668432,0.769628746,-0.975084707,2.231266945,214
Munetaka Murakami,26,CHW,3B,,550.87105,462,64.39693163,104.5073568,58.80883682,16.93637415,0.570718858,28.19142697,76.04474657,8.283904521,3.720777606,72.27761283,197.8677472,0.2262064,0.345505339,0.448397077,0.793902416,-0.999496895,2.143026219,187
Ben Rice,27,NYY,C,1B,518.07805,455,65.89502938,111.1307015,62.01806935,22.79668733,1.761231013,24.5547138,72.15230199,4.158127838,2.069207614,54.11139899,104.7775536,0.2442433,0.329701218,0.463986796,0.793688014,-1.029700412,3.307187773,67
